,similarity with: cure,words,user_label
0.0,0.6056067943572998,infestation,un_labeled
1.0,0.5656987428665161,eradicate,un_labeled
2.0,0.5632286667823792,heal,un_labeled
3.0,0.5626367926597595,overcome,un_labeled
4.0,0.5625702738761902,treat,un_labeled
5.0,0.5547603964805603,reverse,un_labeled
6.0,0.5492115020751953,recover,un_labeled
7.0,0.5064466595649719,solve,un_labeled
8.0,0.4967576861381531,restore,un_labeled
9.0,0.4958118200302124,fully_recover,un_labeled
10.0,0.4865754246711731,under_control,un_labeled
11.0,0.47805312275886536,conquer,un_labeled
12.0,0.47197601199150085,beat,un_labeled
13.0,0.4716614782810211,get_rid,un_labeled
14.0,0.46683406829833984,candida_albican_infestation,un_labeled
15.0,0.4664839804172516,go_away_completely,un_labeled
16.0,0.46396082639694214,clear_up,un_labeled
17.0,0.4601820707321167,ultimate_cure,un_labeled
18.0,0.4595184326171875,fully_heal,un_labeled
19.0,0.454257071018219,certainty,un_labeled
20.0,0.452119380235672,treatment,un_labeled
21.0,0.45143789052963257,leaky_gut_syndrome,un_labeled
22.0,0.4513032138347626,fix,un_labeled
23.0,0.4496873617172241,contract,un_labeled
24.0,0.44609421491622925,address,un_labeled
25.0,0.44423115253448486,resolve,un_labeled
26.0,0.44405558705329895,intestinal_candidiasis,un_labeled
27.0,0.438241183757782,full_blow,un_labeled
28.0,0.4371229112148285,miracle_cure,un_labeled
29.0,0.43601104617118835,convince,un_labeled
