,user_name,topic_ID,post_text
0,sarah825,1,"Due to past experience, I’m pretty sure I got my candida from an Overexposure to chemicals over a period of time. I read about doing a metal detox at the beginning of the diet, has anyone ever done this?"
1,Wiley200,1,"Some people do a heavy metal detox, including some chelation. You have to be very careful with chelation though, as doing it too quickly can lead to some serious health problems.You would probably need some professional advice to do that.I would focus on improving your diet etc first, and try to get your immune system back on track. If you hit a plateau, then maybe you can get tested for heavy metals."
2,PeteSake,1,"Diatomaceous earth is believed to be good at detoxing heavy metals, as well as killing parasites and some sources say it kills Candida.I’ve used it religiously and can attest to the parasite killing effects, as you can see dead -sites in the stool, but haven’t tested for heavy metals as of yet.I will say that it is dehydrating so water intake would need to be upped, and breathing it can be hazardous if it gets to your lungs so it should be extensively researched before taken up.All in all it has helped my candida treatment overall. And it gives tons of energy!"
3,LadyCandiKiller,1,"I’d like to offer a suggestion. Please research diatomaceous earth (food grade) for getting rid of candida. It is awesome stuff! All you need to do is google it for information. There are tons of reports saying that it works. Here is what one natural healer had to say.“After working with hundreds of clients and many years of trial and error, we have finally figured out the best concoction for killing candida: (there are a couple of other suggestions as well) Food-grade diatomaceous earth, these old tiny fossils don’t harm the human body, but act like razor blades to the exoskeleton of the candida.” From The Whole Journey . comI use it regularly, without hesitation. It is so helpful with many things including candida. Again, research, research, research."
4,WhiteTrash,1,Is Diatomaceous Earth completely side effect free?
0,doublek,2,"I’ve seen it come up a couple times here in old posts, but this is something that hasn’t been discussed much. I started taking copper about a month ago and really believe that it has helped me a lot. Why? Copper retards yeast growth. In fact, several websites I’ve read suggest that a copper imbalance may actually be on of the main reasons candida spreads.When I started taking copper, I had been taking zinc for a while to help boost my immune system. That was a mistake, not that there is anything wrong with zinc, but copper and zinc should be taken together in the proper proportion, at a 8:1 ratio. So since I was taking 20mg of zinc, I started taking 2.5mg of copper. When I first started taking copper I had horrible die-off symptoms that lasted about a week and a half, but since then things have really improved.Based on my own experience, I would highly recommend copper. I would like to know if anyone else has tried copper and if it helped you."
0,danjeckstein,3,"Hello everyone. Quick back story: I lived with toxic mold for a year and a half. I’m having a lot of the symptoms and have researched Candida. I’ve read the book and am planning on starting the diet after the holidays. I’ve already cut out a lot of the foods that are not on the diet but like I said, I’m not starting until Jan 1. Lately when I smoke weed my breathing gets very short and I can’t stop coughing. I know that marijuana sensitivity is a symptom. What I would like to know is: Can I treat Candida Overgrowth while still smoking weed? I have tried to vape but it causes the same reaction. Never had a problem with weed until the mold exposure. Any advice would be appreciated. Thanks, Dan"
1,raster,3,"You likely have high histamine levels. If you take a break for a period of time and take care of yourself, the reactions should get less bad from my experience. I would then switch to a vape. Take vitamin C to reduce histamine levels. -raster"
2,futureyogi,3,"I just had a horrible reaction to marijuana last night. It was like a seizure. I started taking a bunch of anti fungals yesterdays so I guess my liver was already taxed and couldnt process the weed. I know weed is supposed to be good for you but it still has to be processed by the liver (I guess its the thc). I have had this candida problem for a while now and what Ive learned is that yeast releases toxins in your body. One of them resembles alcohol (which makes you crave sugar). So you already have to process toxins and then your putting more chemicals into your body when you do drugs. Smoking mary j while having candida might be ok, as long as your not going through a cleanse and trying to eradicate it. Its really best to avoid it. I know I will be for a while. Hope you get better!"
3,Sanshou,3,"I turned into a heavy user after getting pneumonia, which was mostly caused by cigarettes. But it cleared after about a week of smoking cannabis with a water pipe to filter the smoke. In the last year I’ve also started making tinctures with the leaf. Which has turned into my new cough syrup or when I need something to knock me out.It has been a wonder for helping with sleep and it helped get me through a lot of the blow back from this illness like my broken rib or fibromyalgia, etc. It does have it’s draw backs, but I think the benefits like cannabinoids out weigh the drawbacks. As cannabinoids may play a role in helping people like us to heal. Because if you follow the functions of cannabinoids you see their role is most often to aid other substances “like medicines” to function more efficiently with the immune system. They also have other benefits like being anti-cancer etc, but so do a lot of other substances like herbs, they just lack cannabinoids like traditional medicines.A lot of this in conjecture to a point, but I’m sure most of use have read some of the things said about cannabis and other herbs by now, so it’s likely some of it may be true. As for my personal experience it’s been a big help, even if I feel I currently use a little too much, using it nightly."
4,Yuki,3,"I agree with raster. A break while you heal and then starting back up with a vape is probably your best bet. If you absolutely do not want a break, at least get a vape to give your lungs a break!Donate here to help me get Mercury-free and solve my systematic candiasis permanently! (Even $1 can greatly help my cause!)"
5,rmw1822,3,"I’m no doctor, but I think you can. I’ve struggled with candida for almost 3 years now and I’ve never had any issues using marijuana while on the diet. I think its positives definitely outweigh its negatives when on the diet due to the stress some people may have on the diet alone, the social difficulties (if you’re a drinker), etc. I’m naturally a stressed out person (thanks Mom!) so again, I think being able to relax and not think so much reduces my stress which is probably part of the reason I’m struggling with candida overgrowth to begin with. The only think you have to be careful with is the munchies!"
6,Chrysanthos,3,Is it true that marijuana can actually help to loss weight? I’ve been hearing people talk about this lately in some forum i cant remember what forum that is but i was pretty curious about they’re topic. I have been reading this marijuana strain here in [LINK REMOVED] and all it says that it can help you relax and chill you physically and mentally. Some of them might even help you with depression and anxiety but this issue regarding losing weight when using marijuana is just fascinating. Can you enlighten me with some new information about this?
0,ibeatthebeast,4,"Please listen to what I have to say. I am a 28 year old male and was plagued by systemic candida for over 4 years. I was finally able to heal myself once I followed the principles of Traditional Chinese Medicine and the practice of curing a damp gut. One thing you must understand is that to treat the root cause of the infection means healing the internal organs (specifically the spleen, kidneys, and liver). You need to avoid ALL damp-forming foods including all forms of dairy, all sugar/honey/artificial sweeteners, give up all caffeine, and eat plenty of warm, drying foods including sweet potatoes, azuki beans, barley, celery, ginger, turmeric, cumin, lemon/lime juice, plenty of water (between meals only), cayenne pepper, apple cider vinegar, etc. These should be the staples of your diet. Don’t obsess about carbohydrates associated with these foods as I first did. Think about the bigger picture, not just Western medicine’s obsession of treating symptoms. Try it, you will see amazing results.1 user thanked author for this post.  LadyCandiKiller"
1,LadyCandiKiller,4,"You said “drying foods including sweet potatoes, azuki beans, barley, celery, ginger, turmeric, cumin, lemon/lime juice, plenty of water (between meals only), cayenne pepper, apple cider vinegar, etc.”My question is what is the “etc.”?"
0,bridida1978,5,"I have had the following symptoms. Cold feet, i mean, really cold. I am extremely cold at night. My face is constantly red. I was diagnoses with seb derm, which im not sure that is what it is. It doesnt scale, its just red. My libido is down. My energy is down. Depression and anxiety is up. I started taking capryilic acid and 50 bil renew life pro-biotics. I was clean of gluten and dairy for 2 weeks but have since slipped. I am at my wits end here. I don’t feel good what ever i do."
1,Tiarmarie,5,"Hello my name is Tiarmarie…I’m new on here and just found out I have Candida, can someone tell me if Goats yoghurt is ok, because Goats milk is no good for me??..also don’t feel good after eating raw soaked oats with nuts and seeds..should I be eating Oat Bran instead??…Tiarmarie"
2,Wiley200,5,"bridida1978 wrote:I have had the following symptoms. Cold feet, i mean, really cold. I am extremely cold at night. My face is constantly red. I was diagnoses with seb derm, which im not sure that is what it is. It doesnt scale, its just red. My libido is down. My energy is down. Depression and anxiety is up. I started taking capryilic acid and 50 bil renew life pro-biotics. I was clean of gluten and dairy for 2 weeks but have since slipped. I am at my wits end here. I don’t feel good what ever i do.No digestive symptoms at all? Or yeast infections? It might not be Candida at all. Cold feet and low energy would suggest a thyroid problem maybe?"
3,JoeR,5,"Make sure its does not contain any sugar, plain yogurt with living probiotics."
4,critzker,5,Sounds like hypothyroid! Those with Candida are super susceptible to hypothyroid!
